"image","xmin","ymin","xmax","ymax","label"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=395.733333.jpg",887.8288181051108,603.4430938773049,1400.6187620540018,1296,"Face"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=404.333333.jpg",974.9230201301832,369.585090754985,1433.5012807377047,846.1929674099486,"Profil-droit"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=402.2.jpg",945.5954526277724,369.585090754985,1414.8381599566055,956.4530831233919,"Profil-gauche"
"0.4664918145546769__6797_ch1_from_02032022150830__to__02032022151807.mp4#t=60.2.jpg",906.4918032786885,850.638936535163,1321.5228272661523,1263.2249527631861,"Profil-gauche"
"0.4664918145546769__6797_ch1_from_02032022150830__to__02032022151807.mp4#t=26.333333.jpg",635.4329797492768,422.9367202575579,866.4995178399229,647.0135370323221,"Profil-gauche"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=424.4.jpg",992.697369214079,702.1435948890438,1381.0670051832208,1197.4245283018868,"Face"
"0.4664918145546769__6797_ch1_from_02032022150830__to__02032022151807.mp4#t=58.733333.jpg",1032.6896546528446,847.9713279239924,1424.614106195757,1296,"Face"
"0.4664918145546769__6797_ch1_from_02032022150830__to__02032022151807.mp4#t=28.8.jpg",591.8858787367406,390.0365758670133,841.6154020009642,574.9888507718697,"Profil-gauche"
"0.47720662808192704__6839_ch9_from_25032022205130__to__25032022205737.mp4#t=135.266667.jpg",1891.1909052555447,781.2818588858812,2224.459950578592,1017.8074027792668,"Profil-droit"
"0.4664918145546769__6797_ch1_from_02032022150830__to__02032022151807.mp4#t=73.133333.jpg",1086.9014736017357,719.9274713899014,1451.2756298216007,1126.2890222984563,"Profil-droit"
"0.4664918145546769__6797_ch1_from_02032022150830__to__02032022151807.mp4#t=77.666667.jpg",1034.4671980472517,802.6224564148264,1452.1644015188042,1224.9895911503004,"Face"
"0.4664918145546769__6797_ch1_from_02032022150830__to__02032022151807.mp4#t=242.266667.jpg",1006.9169027242044,816.8496118875966,1637.0175235053039,1268.5600343053175,"Profil-droit"
"0.47720662808192704__6839_ch9_from_25032022205130__to__25032022205737.mp4#t=109.533333.jpg",1025.5800235053036,855.0849056603774,1280.6419057377047,1184.0866209262435,"Profil-gauche"
"0.5225985658934514__6838_ch9_from_08042022193430__to__08042022194247.mp4#t=403.jpg",1723.2230894406944,924.4420511497642,2004.0578592092575,1250.7761578044597,"Profil-droit"
"0.47720662808192704__6839_ch9_from_25032022205130__to__25032022205737.mp4#t=135.933333.jpg",1796.0980291706846,875.5363907724058,2175.5804905978785,1166.302744425386,"Face"
"0.5218275901641937__6426_ch9_from_25032022175530__to__25032022180434.mp4#t=137.333333.jpg",949.1502682015429,942.2259276506219,1493.0453230472517,1291.6791280285165,"Profil-gauche"
"0.5004141970897603__6850_ch10_from_25032022122430__to__25032022123044.mp4#t=6.133333.jpg",1350.8505303760849,867.5337006191038,1555.255544840887,1154.7431975637865,"Profil-droit"
"0.5004141970897603__6850_ch10_from_25032022122430__to__25032022123044.mp4#t=4.466667.jpg",1179.3280345949854,926.2204116638079,1445.0546347637414,1191.2001986626287,"Face"
"0.5703524223125014__6859_ch10_from_01042022142730__to__01042022143340.mp4#t=101.733333.jpg",1346.406943105111,913.7717523852916,1559.6991321118612,1187.6434776345413,"Profil-droit"
"0.5703524223125014__6859_ch10_from_01042022142730__to__01042022143340.mp4#t=91.066667.jpg",1229.985037970106,887.0959376340052,1480.6033329315333,1102.2808161583405,"Profil-gauche"
"0.5703524223125014__6859_ch10_from_01042022142730__to__01042022143340.mp4#t=0.jpg",1289.5290802796528,888.874298148049,1532.1489723963355,1141.4052901881432,"Profil-droit"
"0.5428688560132757__6420_ch9_from_15042022160030__to__15042022161030.mp4#t=6.666667.jpg",1869.8614693828351,846.1929674099486,2144.475379701061,1126.2890222984563,"Profil-gauche"
"0.5703524223125014__6859_ch10_from_01042022142730__to__01042022143340.mp4#t=6.4.jpg",1333.076181292189,970.680102915952,1550.8119575699131,1226.7679516643439,"Profil-droit"
"0.5782708936578178__6778_ch2_from_02032022205930__to__02032022210927.mp4#t=134.933333.jpg",1285.085493008679,286.0008576329331,1633.4627079315333,718.1490430357526,"Profil-gauche"
"0.5782708936578178__6778_ch2_from_02032022205930__to__02032022210927.mp4#t=305.733333.jpg",1253.0916104146577,570.5428816466552,1660.124231557377,1153.8540851468697,"Face"
"0.5782708936578178__6778_ch2_from_02032022205930__to__02032022210927.mp4#t=135.533333.jpg",1238.872212512054,501.1858039973735,1618.354538331726,1015.9039451114922,"Face"
"0.5782708936578178__6778_ch2_from_02032022205930__to__02032022210927.mp4#t=308.4.jpg",1277.0869545564126,356.2471833793418,1650.3482853182254,838.1902772566467,"Face"
"0.5703524223125014__6859_ch10_from_01042022142730__to__01042022143340.mp4#t=115.266667.jpg",1272.6433672854387,903.101453620819,1527.7053851253615,1178.7515393841122,"Face"
"0.5938978072787677__6797_ch1_from_02032022183630__to__02032022184256.mp4#t=100.466667.jpg",1150.0004670925748,622.1161506351845,1490.379143563163,1037.369639794168,"Profil-droit"
"0.5782708936578178__6778_ch2_from_02032022205930__to__02032022210927.mp4#t=315.333333.jpg",1247.759387054002,326.0145797598628,1636.128887415622,760.8303737738529,"Face"
"0.5938978072787677__6797_ch1_from_02032022183630__to__02032022184256.mp4#t=97.333333.jpg",1172.2184034474444,695.9191974096806,1421.0592906219863,1075.605001407054,"Profil-droit"
"0.5782708936578178__6778_ch2_from_02032022205930__to__02032022210927.mp4#t=313.666667.jpg",1203.3235143442623,325.12539950284093,1610.35599987946,693.251656638615,"Profil-gauche"
"0.5782708936578178__6778_ch2_from_02032022205930__to__02032022210927.mp4#t=309.8.jpg",1211.3219171890066,170.4056603773585,1614.7995871504338,540.3102780271763,"Profil-gauche"
"0.5938978072787677__6797_ch1_from_02032022183630__to__02032022184256.mp4#t=111.jpg",1041.5768291947927,791.9521576503538,1395.2864030858245,1169.8596011336836,"Profil-gauche"
"0.5938978072787677__6797_ch1_from_02032022183630__to__02032022184256.mp4#t=114.jpg",1043.3543725891996,822.1847612698328,1448.609450337512,1205.427354135399,"Face"
"0.5938978072787677__6797_ch1_from_02032022183630__to__02032022184256.mp4#t=247.6.jpg",1110.8968177434908,551.8698248887757,1480.6033329315333,795.5089465185463,"Profil-gauche"
"0.5938978072787677__6797_ch1_from_02032022183630__to__02032022184256.mp4#t=109.2.jpg",1097.5660559305688,809.7360341512115,1484.1581485053036,1237.4382504288164,"Face"
"0.5938978072787677__6797_ch1_from_02032022183630__to__02032022184256.mp4#t=136.733333.jpg",964.25843780135,768.8331317672599,1469.9387506027,1136.0702086460121,"Profil-gauche"
"0.6056486532338973__6809_ch1_from_28022022141030__to__28022022141938.mp4#t=70.533333.jpg",1280.641905737705,691.4732282844661,1595.2478302796528,1104.0591766723842,"Profil-droit"
"0.6056486532338973__6809_ch1_from_28022022141030__to__28022022141938.mp4#t=74.4.jpg",1253.0916104146577,703.0327751460657,1526.8166134281582,1186.7542295374142,"Face"
"0.6056486532338973__6809_ch1_from_28022022141030__to__28022022141938.mp4#t=86.533333.jpg",1126.004987343298,564.3185520073971,1611.2447715766634,869.3120611331476,"Profil-gauche"
"0.6018926552108159__6385_ch10_from_18032022205930__to__18032022210445.mp4#t=98.jpg",741.19043816297,574.9888507718697,924.2661523625843,737.711347890759,"Profil-droit"
"0.6018926552108159__6385_ch10_from_18032022205930__to__18032022210445.mp4#t=114.933333.jpg",1194.4363398023143,968.0124943047814,1525.9278417309545,1214.3192923858278,"Face"
"0.6071142517291879__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=123.266667.jpg",1366.8474716730955,405.1528437567003,1573.9186656219865,632.7864493996569,"Profil-droit"
"0.6071142517291879__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=136.066667.jpg",1177.5506268081003,874.6471426752788,1624.5755333895854,1275.6736120417024,"Profil-gauche"
"0.6071142517291879__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=136.866667.jpg",1165.9972727820636,934.2232374973199,1647.6822414416586,1296,"Face"
"0.6056486532338973__6809_ch1_from_28022022141030__to__28022022141938.mp4#t=296.466667.jpg",1180.216806292189,695.0300171526587,1635.2401157184186,1179.6406518010292,"Profil-droit"
"0.6071142517291879__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=217.866667.jpg",1186.4378013500482,851.5281846322899,1629.019120660559,1273.0060034305318,"Face"
"0.6071142517291879__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=250.466667.jpg",1142.890700337512,757.2735849056604,1589.0268352217936,1201.8704974271013,"Profil-gauche"
"0.6071142517291879__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=252.466667.jpg",1103.787050988428,695.9191974096806,1661.901639344262,1069.380671767796,"Profil-gauche"
"0.6071142517291879__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=254.jpg",1232.6510818466732,698.5868060208512,1577.473481195757,1219.6543739279589,"Face"
"0.62138013633369__6746_ch10_from_04032022160330__to__04032022160932.mp4#t=125.866667.jpg",1054.0189549180327,681.6921097770155,1525.9278417309547,1291.6791280285165,"Profil-droit"
"0.62138013633369__6746_ch10_from_04032022160330__to__04032022160932.mp4#t=349.4.jpg",1009.5830822082931,735.9329195366103,1491.2679152603664,1280.1195811669168,"Face"
"0.6250336638074326__6787_ch2_from_02032022202330__to__02032022202843.mp4#t=176.866667.jpg",1176.6619907184186,618.5593617669919,1628.1303489633558,1296,"Face"
"0.6276065489321752__6831_ch9_from_01042022171430__to__01042022172213.mp4#t=3.jpg",1725.8894045323048,855.9741537575044,2070.711668273867,1163.6351358142153,"Face"
"0.6268404510481738__6836_ch9_from_01042022153930__to__01042022154800.mp4#t=135.866667.jpg",1974.7302917068466,944.8935362617925,2291.1137596432013,1296,"Profil-gauche"
"0.6250336638074326__6787_ch2_from_02032022202330__to__02032022202843.mp4#t=96.133333.jpg",1316.1906039054966,103.71612349914237,1688.563162970106,585.6592173764473,"Profil-gauche"
"0.6250336638074326__6787_ch2_from_02032022202330__to__02032022202843.mp4#t=97.266667.jpg",1131.3373463114754,471.8423806349164,1560.5879038090645,1102.2808161583405,"Face"
"0.6276065489321752__6831_ch9_from_01042022171430__to__01042022172213.mp4#t=138.6.jpg",850.5025765429123,736.8221676337372,1331.2987735053039,1196.53541588497,"Profil-gauche"
"0.6352214729396954__6809_ch1_from_27022022140730__to__27022022141456.mp4#t=135.8.jpg",1126.004987343298,803.5117045119533,1466.3837994214077,1229.4355602755147,"Face"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=6.6.jpg",2072.4892116682736,25.46707367937929,2287.558672854387,244.20874107190718,"Profil-gauche"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=94.2.jpg",1301.0824343056895,161.51372212692968,1712.5585071118612,623.0053308922063,"Profil-gauche"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=96.8.jpg",1105.5645943828351,515.4128916300386,1597.9140097637417,1266.7816737912735,"Face"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=182.6.jpg",1151.77787487946,489.62625713577404,1644.1272902603664,1153.8540851468697,"Face"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=154.933333.jpg",1200.6573348601735,616.7810012529482,1643.2386541706846,1260.5573441520155,"Face"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=268.733333.jpg",1216.654276157184,152.62178387650087,1663.6790471311474,624.78369140625,"Profil-gauche"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=116.333333.jpg",1173.9958112343297,55.699677298858276,1664.567818828351,610.5566037735849,"Profil-gauche"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=179.jpg",1137.5583413693346,359.8039722475343,1571.2524861378977,871.9796697443182,"Profil-gauche"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=362.133333.jpg",1295.750075337512,147.28663449426458,1682.3421679122469,522.5264015263186,"Profil-gauche"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=274.733333.jpg",1086.9014736017357,617.67018150997,1719.6682738669238,1246.3301886792453,"Face"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=299.4.jpg",1272.6433672854387,366.91748214381437,1733.887807377049,986.6856189027659,"Face"
"0.6497877897567033__6780_ch2_from_27022022153730__to__27022022154600.mp4#t=32.2.jpg",1766.7704616682738,229.98165343924208,2056.4921347637414,663.9082332761578,"Profil-droit"
"0.6485778962342293__6787_ch2_from_02032022210830__to__02032022211733.mp4#t=388.266667.jpg",1891.1909052555447,269.10616138909734,2146.2526518804243,703.0327751460657,"Profil-droit"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=120.666667.jpg",1268.1997800144647,275.33055886846057,1633.4627079315333,694.1408368956368,"Face"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=134.666667.jpg",1170.4408600530376,489.62625713577404,1531.260200699132,1088.0536606855703,"Face"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=117.533333.jpg",1226.430086788814,0,1539.2586035438767,247.76552994009973,"Profil-gauche"
"0.6497877897567033__6780_ch2_from_27022022153730__to__27022022154600.mp4#t=72.933333.jpg",944.706680930569,353.57957476817114,1337.5197685631629,1056.0427643921528,"Face"
"0.6497877897567033__6780_ch2_from_27022022153730__to__27022022154600.mp4#t=94.533333.jpg",965.1472094985535,548.3130360205832,1331.2987735053036,1092.4996298107849,"Face"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=220.933333.jpg",1018.4702567502411,514.5237113730168,1807.6512475891996,1170.7487135506003,"Face"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=164.jpg",1105.5645943828351,412.2664214930854,1621.9093539054966,1008.9154645288379,"Profil-gauche"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=145.066667.jpg",655.8735083172613,273.5521305143118,1841.4226735776278,1109.3943938947257,"Profil-gauche"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=177.266667.jpg",1097.5660559305688,322.45779089167024,1767.6589621504338,1064.0454545454545,"Profil-gauche"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=167.133333.jpg",1189.9927525313403,370.47427101200685,1682.3421679122469,1087.1645482686536,"Face"
"0.6617478442195819__6412_ch1_from_02032022185830__to__02032022190439.mp4#t=101.2.jpg",1160.665049421408,554.5374334999465,1443.2772269768564,874.6471426752788,"Profil-droit"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=255.066667.jpg",1157.9988699373191,169.51648012033664,1694.784158027965,559.8725828821828,"Profil-gauche"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=281.6.jpg",1924.9620600289295,283.3333168618675,2253.787518081003,757.2735849056604,"Profil-droit"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=279.733333.jpg",1892.079405737705,441.60977701543743,2189.7997528929604,851.5281846322899,"Profil-droit"
"0.6577839001306232__6773_ch2_from_28022022164030__to__28022022164708.mp4#t=284.533333.jpg",1823.648324493732,237.09519725557462,2184.4676651398263,784.8385799139687,"Profil-droit"
"0.6617478442195819__6412_ch1_from_02032022185830__to__02032022190439.mp4#t=101.933333.jpg",1046.9091881629702,851.5281846322899,1459.2740326663452,1245.4410762623286,"Face"
"0.669614768514089__6773_ch2_from_27022022133930__to__27022022134832.mp4#t=475.866667.jpg",1022.0250723240115,622.1161506351845,1381.9556412729025,1077.3833619210977,"Profil-droit"
"0.669614768514089__6773_ch2_from_27022022133930__to__27022022134832.mp4#t=136.2.jpg",1041.5768291947927,660.3514444079653,1417.5043394406944,1204.538106038272,"Face"
"0.6641819717237948__6829_ch9_from_21032022193930__to__21032022194641.mp4#t=358.733333.jpg",416.80849957810995,366.91748214381437,1901.8553519768561,1296,"Profil-gauche"
"0.669614768514089__6773_ch2_from_27022022133930__to__27022022134832.mp4#t=528.733333.jpg",1575.6960734088716,374.9202401372213,1917.8524288813885,818.6279724016402,"Profil-droit"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=201.2.jpg",1043.3543725891996,567.8753408755897,1396.1751747830278,1135.1809605488852,"Face"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=63.4.jpg",1688.563162970106,309.119883516027,2001.3918153326904,728.8194096403302,"Profil-droit"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=197.466667.jpg",985.587738066538,441.60977701543743,1389.9541797251686,1045.3724656276802,"Face"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=75.466667.jpg",983.8101946721312,819.5171526586621,1417.5043394406944,1296,"Face"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=198.466667.jpg",1001.584543756027,301.1171933627251,1469.0499789054966,846.1929674099486,"Profil-droit"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=212.933333.jpg",1531.2602006991322,239.76277194669277,1897.4117647058824,641.6783876500858,"Profil-droit"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=203.533333.jpg",965.1472094985535,526.0831903945111,1347.2957148023143,960.8990522486063,"Profil-gauche"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=224.8.jpg",959.814850530376,161.51372212692968,1438.8336397058822,510.07774224780235,"Profil-gauche"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=207.666667.jpg",1715.2246865959498,269.9954094862243,2075.1552555448407,503.8533447684391,"Profil-droit"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=205.133333.jpg",978.4779713114754,258.4358626246248,1261.0901488669238,542.977886638347,"Profil-gauche"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=421.533333.jpg",1814.7611499517839,321.5686106346484,2107.149138138862,741.2681367589516,"Profil-droit"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=397.6.jpg",1009.5830822082931,471.8423806349164,1461.0515760607523,1044.4832175305532,"Face"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=392.933333.jpg",901.1595799180327,543.8670668953688,1374.8458745178398,1032.034558252037,"Profil-gauche"
"0.7005225786314896__6791_ch2_from_27022022165530__to__27022022170509.mp4#t=406.jpg",1520.5956183702988,198.8598695627412,1819.2047372227578,565.207732264419,"Profil-droit"
